,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
196,Gulbarga TO Gulbarga,Gulbarga Chittapur Sedam Chincholi -- Chittapur Sedam Chincholi Gulbarga,4,4,13,149.6692705487853,1,1,Karnataka,Karnataka,Gulbarga Chittapur Sedam Chincholi,Carting,Chittapur Sedam Chincholi Gulbarga
197,Sasaram TO Sasaram,Sasaram Kanpur Kolkata Dhanbad -- Kanpur Gurgaon Dhanbad Sasaram,4,4,16,1028.0247258396523,4,4,Uttar Pradesh Haryana Jharkhand Bihar,Bihar Uttar Pradesh West Bengal Jharkhand,Sasaram Kanpur Kolkata Dhanbad,FTL,Kanpur Gurgaon Dhanbad Sasaram
198,Mehsana TO Mehsana,Mehsana Himmatnagar Modasa Khedbrahma -- Himmatnagar Modasa Khedbrahma Mehsana,4,4,11,168.81212737580367,1,1,Gujarat,Gujarat,Mehsana Himmatnagar Modasa Khedbrahma,FTL,Himmatnagar Modasa Khedbrahma Mehsana
199,Buxar TO Buxar,Buxar Dumraon Jagdishpur Sasaram -- Dumraon Jagdishpur Sasaram Buxar,4,4,18,104.39343308983575,1,1,Bihar,Bihar,Buxar Dumraon Jagdishpur Sasaram,FTL,Dumraon Jagdishpur Sasaram Buxar
200,Silchar TO Silchar,Silchar Hailakandi Karimganj Badarpur -- Hailakandi Karimganj Badarpur Silchar,4,4,15,65.07218506168438,1,1,Assam,Assam,Silchar Hailakandi Karimganj Badarpur,FTL,Hailakandi Karimganj Badarpur Silchar
201,Aluva TO Aluva,Aluva Guruvayoor Tirur Kozhikode -- Guruvayoor Edappal Kozhikode Aluva,4,4,6,215.95812497103404,1,1,Kerala,Kerala,Aluva Guruvayoor Tirur Kozhikode,FTL,Guruvayoor Edappal Kozhikode Aluva
202,Angul TO Angul,Angul Sonepur Balangir Phulbani -- Sonepur Balangir Phulbani Angul,4,4,1,352.24183042535793,1,1,Orissa,Orissa,Angul Sonepur Balangir Phulbani,Carting,Sonepur Balangir Phulbani Angul
203,Aluva TO Vaikom,Aluva Cherthala Kottayam Kothanalloor -- Kottayam Aluva Kothanalloor Vaikom,4,4,6,117.03129659133344,1,1,Kerala,Kerala,Aluva Cherthala Kottayam Kothanalloor,FTL,Kottayam Aluva Kothanalloor Vaikom
204,Dhule TO Dhule,Dhule Amalner Erandol Pachora -- Jalgaon Amalner Erandol Pachora Dhule,4,5,2,123.98673435479054,1,1,Maharashtra,Maharashtra,Dhule Amalner Erandol Pachora,Carting,Jalgaon Amalner Erandol Pachora Dhule
205,Warangal TO Parkal,Warangal Mulugu Bhupalpally Mahadevpur -- Mulugu Bhupalpally Mahadevpur Parkal,4,4,2,108.66833442417203,1,1,Telangana,Telangana,Warangal Mulugu Bhupalpally Mahadevpur,FTL,Mulugu Bhupalpally Mahadevpur Parkal
206,Sonipat TO Sonipat,Sonipat Modinagar Khatauli Meerut -- Modinagar Meerut Sonipat,4,3,6,82.59205395661137,2,2,Uttar Pradesh Haryana,Haryana Uttar Pradesh,Sonipat Modinagar Khatauli Meerut,FTL,Modinagar Meerut Sonipat
207,Muktsar TO Giddarbaha,Muktsar Giddarbaha Abohar Malout -- Malout Muktsar Abohar Giddarbaha,4,4,5,61.30138254859711,1,1,Punjab,Punjab,Muktsar Giddarbaha Abohar Malout,FTL,Malout Muktsar Abohar Giddarbaha
208,Gulbarga TO Gulbarga,Gulbarga Sindagi Indi Aland -- Sindagi Indi Aland Gulbarga,4,4,14,199.27552016931665,1,1,Karnataka,Karnataka,Gulbarga Sindagi Indi Aland,Carting,Sindagi Indi Aland Gulbarga
209,Surat TO Surat,Surat Navsari Bilimora Valsad -- Navsari Bilimora Valsad Surat,4,4,8,90.22295405901627,1,1,Gujarat,Gujarat,Surat Navsari Bilimora Valsad,Carting,Navsari Bilimora Valsad Surat
210,Kakinada TO Kakinada,Kakinada Tuni Rajamundry Mandapeta -- Tuni Rajamundry Mandapeta Kakinada,4,4,21,166.68913122925088,1,1,Andhra Pradesh,Andhra Pradesh,Kakinada Tuni Rajamundry Mandapeta,FTL,Tuni Rajamundry Mandapeta Kakinada
211,Gwalior TO Bhind,Gwalior Morena Bhind Ambah -- Morena Ambah Gwalior Bhind,4,4,14,130.83099656906327,1,1,Madhya Pradesh,Madhya Pradesh,Gwalior Morena Bhind Ambah,FTL,Morena Ambah Gwalior Bhind
212,Ongole TO Ongole,Ongole Kanigiri Kandukur Kavali -- Kanigiri Kandukur Kavali Ongole,4,4,22,177.80214967844555,1,1,Andhra Pradesh,Andhra Pradesh,Ongole Kanigiri Kandukur Kavali,FTL,Kanigiri Kandukur Kavali Ongole
213,Islampur TO Kolhapur,Islampur Karad Chiplun Khed -- Karad Chiplun Khed Kolhapur,4,4,1,256.3609780972264,1,1,Maharashtra,Maharashtra,Islampur Karad Chiplun Khed,FTL,Karad Chiplun Khed Kolhapur
214,Ranchi TO Ranchi,Ranchi Phusro Bokaro Peterbar -- Phusro Bokaro Peterbar Ranchi,4,4,3,153.38595042861695,1,1,Jharkhand,Jharkhand,Ranchi Phusro Bokaro Peterbar,FTL,Phusro Bokaro Peterbar Ranchi
215,Gulbarga TO Gulbarga,Gulbarga Sindagi Indi Aland -- Sindagi Indi Aland Gulbarga,4,4,7,214.301270877689,1,1,Karnataka,Karnataka,Gulbarga Sindagi Indi Aland,Carting,Sindagi Indi Aland Gulbarga
216,Arimbur TO Aluva,Arimbur Sankaramangalam Shoranur Pazhayannur -- Sankaramangalam Shoranur Pazhayannur Aluva,4,4,1,126.46888803765728,1,1,Kerala,Kerala,Arimbur Sankaramangalam Shoranur Pazhayannur,Carting,Sankaramangalam Shoranur Pazhayannur Aluva
217,Moodbidri TO Moodbidri,Moodbidri Karkala Dhrmsthala Mangalore -- Karkala Dhrmsthala Mangalore Moodbidri,4,4,11,76.23834081577766,1,1,Karnataka,Karnataka,Moodbidri Karkala Dhrmsthala Mangalore,Carting,Karkala Dhrmsthala Mangalore Moodbidri
218,Amb TO Chandigarh,Amb DehraGopipur Dharamshala Palampur -- DehraGopipur Kangra Palampur Chandigarh,4,4,2,169.95267181442927,1,2,Himachal Pradesh Punjab,Himachal Pradesh,Amb DehraGopipur Dharamshala Palampur,FTL,DehraGopipur Kangra Palampur Chandigarh
219,Mysore TO Mysore,Mysore Hunsur Gonikoppal HDKote -- Krishnarajngr Gonikoppal HDKote Mysore,4,4,14,123.87644468408429,1,1,Karnataka,Karnataka,Mysore Hunsur Gonikoppal HDKote,FTL,Krishnarajngr Gonikoppal HDKote Mysore
220,Sedam TO Sedam,Sedam Chincholi Gulbarga Chittapur -- Chincholi Gulbarga Chittapur Sedam,4,4,9,134.56491220677802,1,1,Karnataka,Karnataka,Sedam Chincholi Gulbarga Chittapur,Carting,Chincholi Gulbarga Chittapur Sedam
221,Khammam TO Khammam,Khammam Kodad Kusumnchi Miryalguda -- Kodad Kusumnchi Miryalguda Khammam,4,4,7,142.8995823858216,1,1,Telangana,Telangana,Khammam Kodad Kusumnchi Miryalguda,FTL,Kodad Kusumnchi Miryalguda Khammam
222,Hubli TO Shimoga,Hubli Shimoga Sirsi Sagara -- Sirsi Bengaluru Sagara Shimoga,4,4,15,316.57356711316214,1,1,Karnataka,Karnataka,Hubli Shimoga Sirsi Sagara,FTL,Sirsi Bengaluru Sagara Shimoga
223,Bhopal TO Gurgaon,Bhopal Kanpur Auraiya Etawah -- Kanpur Auraiya Etawah Gurgaon,4,4,21,731.6344557928254,2,2,Uttar Pradesh Haryana,Madhya Pradesh Uttar Pradesh,Bhopal Kanpur Auraiya Etawah,FTL,Kanpur Auraiya Etawah Gurgaon
224,Vijayawada TO Vuyyuru,Vijayawada Gudivada Machilipatnam Vuyyuru -- Gudivada Machilipatnam Vijayawada Vuyyuru,4,4,21,93.62363768960661,1,1,Andhra Pradesh,Andhra Pradesh,Vijayawada Gudivada Machilipatnam Vuyyuru,FTL,Gudivada Machilipatnam Vijayawada Vuyyuru
225,Udaipur TO Rajsamand,Udaipur Chittaurgarh Rajsamand Bhilwara -- Chittaurgarh Bhilwara Udaipur Rajsamand,4,4,15,208.2292295751466,1,1,Rajasthan,Rajasthan,Udaipur Chittaurgarh Rajsamand Bhilwara,FTL,Chittaurgarh Bhilwara Udaipur Rajsamand
226,Jaipur TO Jaipur,Jaipur Dudu Phulera Renwal -- Dudu Phulera Renwal Jaipur,4,4,7,151.3136914525729,1,1,Rajasthan,Rajasthan,Jaipur Dudu Phulera Renwal,Carting,Dudu Phulera Renwal Jaipur
227,Mungaoli TO Mungaoli,Mungaoli Bina Khurai Sagar -- Bina Khurai Rehli Mungaoli,4,4,12,102.97789491307861,1,1,Madhya Pradesh,Madhya Pradesh,Mungaoli Bina Khurai Sagar,FTL,Bina Khurai Rehli Mungaoli
228,Hisar TO Bhadra,Hisar Rawatsar Sidhmukh Nohar -- Rawatsar Nohar Hisar Bhadra,4,4,10,134.1605422243096,2,2,Rajasthan Haryana,Haryana Rajasthan,Hisar Rawatsar Sidhmukh Nohar,FTL,Rawatsar Nohar Hisar Bhadra
229,Muzaffrpur TO Muzaffrpur,Muzaffrpur Darbhanga Benipur Jhanjharpur -- Darbhanga Benipur Jhanjharpur Muzaffrpur,4,4,22,177.20299995942452,1,1,Bihar,Bihar,Muzaffrpur Darbhanga Benipur Jhanjharpur,FTL,Darbhanga Benipur Jhanjharpur Muzaffrpur
230,Muzaffrpur TO Muzaffrpur,Muzaffrpur Dholi Samastipur HazratJandaha -- Dholi Samastipur HazratJandaha Muzaffrpur,4,4,21,96.48218753945997,1,1,Bihar,Bihar,Muzaffrpur Dholi Samastipur HazratJandaha,FTL,Dholi Samastipur HazratJandaha Muzaffrpur
231,Kharagpur TO Kharagpur,Kharagpur Keshiary Manglamaro Contai -- Keshiary Manglamaro Contai Kharagpur,4,4,2,166.34707149564596,1,1,West Bengal,West Bengal,Kharagpur Keshiary Manglamaro Contai,FTL,Keshiary Manglamaro Contai Kharagpur
232,Mehsana TO Mehsana,Mehsana Vadnagar Palanpur Deesa -- Vadnagar Palanpur Deesa Mehsana,4,4,6,162.25537975709946,1,1,Gujarat,Gujarat,Mehsana Vadnagar Palanpur Deesa,FTL,Vadnagar Palanpur Deesa Mehsana
233,Atmakur TO Atmakur,Atmakur Srisailam Kurnool Nandikotkr -- Srisailam Kurnool Nandikotkr Atmakur,4,4,20,141.57220575066722,1,1,Andhra Pradesh,Andhra Pradesh,Atmakur Srisailam Kurnool Nandikotkr,FTL,Srisailam Kurnool Nandikotkr Atmakur
234,Pune TO Pune,Pune Solapur Osmanabad Barshi -- Solapur Osmanabad Barshi Pune,4,4,22,533.1170770638041,1,1,Maharashtra,Maharashtra,Pune Solapur Osmanabad Barshi,FTL,Solapur Osmanabad Barshi Pune
235,Vellore TO Vellore,Vellore Arani Polur Chetpet -- Arani Polur Chetpet Vellore,4,4,15,118.40186393891462,1,1,Tamil Nadu,Tamil Nadu,Vellore Arani Polur Chetpet,FTL,Arani Polur Chetpet Vellore
236,Delhi TO Hisar,Delhi Gurgaon Meham Hansi -- Gurgaon Meham Hansi Hisar,4,4,3,180.22180931673992,2,1,Haryana,Delhi Haryana,Delhi Gurgaon Meham Hansi,FTL,Gurgaon Meham Hansi Hisar
237,Hyderabad TO Hyderabad,Hyderabad Mahabubnagar Bijnapally Jadcherla -- Mahabubnagar Bijnapally Jadcherla Hyderabad,4,4,8,175.44478907818387,1,1,Telangana,Telangana,Hyderabad Mahabubnagar Bijnapally Jadcherla,FTL,Mahabubnagar Bijnapally Jadcherla Hyderabad
238,Junagadh TO Upleta,Junagadh Upleta Jetpur Dhoraji -- Jetpur Junagadh Dhoraji Upleta,4,4,13,48.865251566394754,1,1,Gujarat,Gujarat,Junagadh Upleta Jetpur Dhoraji,FTL,Jetpur Junagadh Dhoraji Upleta
239,Ranchi TO Ranchi,Ranchi Bokaro Phusro Peterbar -- Bokaro Peterbar Phusro Ranchi,4,4,19,109.7270839376442,1,1,Jharkhand,Jharkhand,Ranchi Bokaro Phusro Peterbar,Carting,Bokaro Peterbar Phusro Ranchi
240,Berhampore TO Berhampore,Berhampore Domkal Nazirpur Nowda -- Domkal Nazirpur Nowda Berhampore,4,4,13,90.33005069627052,1,1,West Bengal,West Bengal,Berhampore Domkal Nazirpur Nowda,Carting,Domkal Nazirpur Nowda Berhampore
241,Bhadrachalam TO Tallada,Bhadrachalam Manuguru Sathupally Khammam -- Manuguru Sathupally Khammam Tallada,4,4,21,175.04142499174753,1,1,Telangana,Telangana,Bhadrachalam Manuguru Sathupally Khammam,FTL,Manuguru Sathupally Khammam Tallada
242,Motihari TO Motihari,Motihari Raxaul Muzaffrpur Chakia -- Raxaul Muzaffrpur Chakia Motihari,4,4,22,197.79631532569155,1,1,Bihar,Bihar,Motihari Raxaul Muzaffrpur Chakia,FTL,Raxaul Muzaffrpur Chakia Motihari
243,Kollam TO Aluva,Kollam Trivandrum Kayamkulam Manthuka -- Trivandrum Kollam Karungaply Manthuka Aluva,4,5,1,241.32830748330656,1,1,Kerala,Kerala,Kollam Trivandrum Kayamkulam Manthuka,FTL,Trivandrum Kollam Karungaply Manthuka Aluva
244,Bengaluru TO Bengaluru,Bengaluru Kolar Mulbagal Chintamani -- Kolar Mulbagal Chintamani Bengaluru,4,4,2,106.63916696411438,1,1,Karnataka,Karnataka,Bengaluru Kolar Mulbagal Chintamani,Carting,Kolar Mulbagal Chintamani Bengaluru
245,Kurukshetra TO Kurukshetra,Kurukshetra Pehowa Kaithal Sonipat -- Pehowa Kaithal Assandh Kurukshetra,4,4,2,147.13068140993084,1,1,Haryana,Haryana,Kurukshetra Pehowa Kaithal Sonipat,FTL,Pehowa Kaithal Assandh Kurukshetra
246,Itahar TO Raiganj,Itahar Kaliyaganj Malda Raiganj -- Kaliyaganj Malda Itahar Raiganj,4,4,12,69.87758991215946,1,1,West Bengal,West Bengal,Itahar Kaliyaganj Malda Raiganj,Carting,Kaliyaganj Malda Itahar Raiganj
247,Jabalpur TO Jabalpur,Jabalpur Sihora Katni Barhi -- Sihora Katni Barhi Jabalpur,4,4,15,96.00337763671834,1,1,Madhya Pradesh,Madhya Pradesh,Jabalpur Sihora Katni Barhi,FTL,Sihora Katni Barhi Jabalpur
248,Tirurangadi TO Areacode,Tirurangadi Malappuram Nilambur Printhlmna -- Malappuram Printhlmna Areacode,4,3,7,29.887772509568684,1,1,Kerala,Kerala,Tirurangadi Malappuram Nilambur Printhlmna,Carting,Malappuram Printhlmna Areacode
249,Tirupati TO Tirupati,Tirupati Sriklahsti Venktagiri Gudur -- Sriklahsti Venktagiri Gudur Tirupati,4,4,17,153.8658656738082,1,1,Andhra Pradesh,Andhra Pradesh,Tirupati Sriklahsti Venktagiri Gudur,FTL,Sriklahsti Venktagiri Gudur Tirupati
250,Aligarh TO Aligarh,Aligarh SikandraRao Etah Jalesar -- SikandraRao Etah Jalesar Aligarh,4,4,6,141.61395017207303,1,1,Uttar Pradesh,Uttar Pradesh,Aligarh SikandraRao Etah Jalesar,Carting,SikandraRao Etah Jalesar Aligarh
251,Ranchi TO Gurgaon,Ranchi Ramgarh Hazaribag JhumriTlya -- Ramgarh Hazaribag JhumriTlya Gurgaon,4,4,15,1016.3001655808439,1,2,Jharkhand Haryana,Jharkhand,Ranchi Ramgarh Hazaribag JhumriTlya,FTL,Ramgarh Hazaribag JhumriTlya Gurgaon
252,MAA TO Kalpakkam,MAA Pondicherry Kalpakkam Marakkanam -- Pondicherry Marakkanam MAA Kalpakkam,4,4,15,204.6226960698739,2,2,Pondicherry Tamil Nadu,Tamil Nadu Pondicherry,MAA Pondicherry Kalpakkam Marakkanam,FTL,Pondicherry Marakkanam MAA Kalpakkam
253,Hubli TO Khanapur,Hubli Khanapur Kittur Belgaum -- Belgaum Hubli Kittur Khanapur,4,4,19,131.6251121359039,1,1,Karnataka,Karnataka,Hubli Khanapur Kittur Belgaum,FTL,Belgaum Hubli Kittur Khanapur
254,MAA TO MAA,MAA Vellore Ranipet Sholinghur -- Vellore Ranipet Sholinghur MAA,4,4,3,175.56081187503034,1,1,Tamil Nadu,Tamil Nadu,MAA Vellore Ranipet Sholinghur,FTL,Vellore Ranipet Sholinghur MAA
255,Hyderabad TO Hyderabad,Hyderabad Bhuvanagiri Mothkur Thirumalagiri -- Bhuvanagiri Mothkur Thirumalagiri Hyderabad,4,4,16,161.75414541091268,1,1,Telangana,Telangana,Hyderabad Bhuvanagiri Mothkur Thirumalagiri,FTL,Bhuvanagiri Mothkur Thirumalagiri Hyderabad
256,Pachore TO Shujalpur,Pachore Shajapur nan Bhopal Narsinghgarh -- Shajapur nan Bhopal Narsinghgarh Pachore Shujalpur,4,5,2,193.67809481543236,1,1,Madhya Pradesh nan,Madhya Pradesh nan,Pachore Shajapur nan Bhopal Narsinghgarh,FTL,Shajapur nan Bhopal Narsinghgarh Pachore Shujalpur
257,Biswan TO Dhaurahara,Biswan Sitapur Lakhimpur Gola -- Sitapur Lakhimpur Gola Dhaurahara,4,4,21,167.43297409714307,1,1,Uttar Pradesh,Uttar Pradesh,Biswan Sitapur Lakhimpur Gola,FTL,Sitapur Lakhimpur Gola Dhaurahara
258,Trivandrum TO Trivandrum,Trivandrum Neyatinkra Kallikkad Nedumangad -- Neyatinkra Kallikkad Nedumangad Trivandrum,4,4,22,34.26813193639022,1,1,Kerala,Kerala,Trivandrum Neyatinkra Kallikkad Nedumangad,Carting,Neyatinkra Kallikkad Nedumangad Trivandrum
259,Bengaluru TO Bengaluru,Bengaluru Malur Bangarapet Bethamangala -- Malur Bangarapet Bethamangala Bengaluru,4,4,4,116.11783435755515,1,1,Karnataka,Karnataka,Bengaluru Malur Bangarapet Bethamangala,Carting,Malur Bangarapet Bethamangala Bengaluru
260,Bengaluru TO Bengaluru,Bengaluru Kolar Mulbagal Chintamani -- Kolar Mulbagal Chintamani Bengaluru,4,4,5,140.42057983885988,1,1,Karnataka,Karnataka,Bengaluru Kolar Mulbagal Chintamani,Carting,Kolar Mulbagal Chintamani Bengaluru
261,Mehsana TO Mehsana,Mehsana Vadnagar Palanpur Deesa -- Vadnagar Palanpur Deesa Mehsana,4,4,12,141.17310400636504,1,1,Gujarat,Gujarat,Mehsana Vadnagar Palanpur Deesa,FTL,Vadnagar Palanpur Deesa Mehsana
262,Bangarapet TO Bengaluru,Bangarapet Bethamangala Bengaluru Malur -- Bethamangala Bangarapet Malur Bengaluru,4,4,12,88.05182431818565,1,1,Karnataka,Karnataka,Bangarapet Bethamangala Bengaluru Malur,Carting,Bethamangala Bangarapet Malur Bengaluru
263,Kurnool TO Wanaparthy,Kurnool JoguGadwal Raichur Wanaparthy -- JoguGadwal Raichur Kurnool Wanaparthy,4,4,4,178.24272700173753,3,3,Telangana Karnataka Andhra Pradesh,Andhra Pradesh Telangana Karnataka,Kurnool JoguGadwal Raichur Wanaparthy,FTL,JoguGadwal Raichur Kurnool Wanaparthy
264,Bankura TO Bishnupur,Bankura Bishnupur Durgapur Barjora -- Durgapur Barjora Bankura Bishnupur,4,4,7,59.68960449777228,1,1,West Bengal,West Bengal,Bankura Bishnupur Durgapur Barjora,Carting,Durgapur Barjora Bankura Bishnupur
265,Jaipur TO SawaiMadhopur,Jaipur Chaksu SawaiMadhopur Tonk -- Chaksu Tonk Jaipur SawaiMadhopur,4,4,12,67.18272092290887,1,1,Rajasthan,Rajasthan,Jaipur Chaksu SawaiMadhopur Tonk,Carting,Chaksu Tonk Jaipur SawaiMadhopur
266,Jamnagar TO Rajkot,Jamnagar Khambhalia Bhatiya Dwarka -- Khambhalia Bhatiya Dwarka Rajkot,4,4,18,100.27071622028541,1,1,Gujarat,Gujarat,Jamnagar Khambhalia Bhatiya Dwarka,FTL,Khambhalia Bhatiya Dwarka Rajkot
267,Bengaluru TO Hubli,Bengaluru Hiriyur Chitradurga Davangere -- Hiriyur Chitradurga Davangere Hubli,4,4,14,313.8994934963512,1,1,Karnataka,Karnataka,Bengaluru Hiriyur Chitradurga Davangere,FTL,Hiriyur Chitradurga Davangere Hubli
268,MAA TO Sholinghur,MAA Vellore Ranipet Sholinghur -- Vellore MAA Ranipet Sholinghur,4,4,2,175.89124933909463,1,1,Tamil Nadu,Tamil Nadu,MAA Vellore Ranipet Sholinghur,FTL,Vellore MAA Ranipet Sholinghur
269,Delhi TO Hansi,Delhi Gurgaon Meham Hansi -- Gurgaon Meham Hisar Hansi,4,4,6,183.63361872950426,2,1,Haryana,Delhi Haryana,Delhi Gurgaon Meham Hansi,FTL,Gurgaon Meham Hisar Hansi
270,Kurnool TO nan,Kurnool Wanaparthy Raichur JoguGadwal nan -- Raichur Kurnool JoguGadwal Wanaparthy nan,4,4,16,187.0367793894975,3,3,Karnataka Andhra Pradesh Telangana nan,Andhra Pradesh Telangana Karnataka nan,Kurnool Wanaparthy Raichur JoguGadwal nan,FTL,Raichur Kurnool JoguGadwal Wanaparthy nan
271,Baraut TO Baghpat,Baraut Shamli Budhana Sonipat -- Shamli Budhana Sonipat Baraut Baghpat,4,5,16,79.30947789726444,2,2,Uttar Pradesh Haryana,Uttar Pradesh Haryana,Baraut Shamli Budhana Sonipat,FTL,Shamli Budhana Sonipat Baraut Baghpat
272,Kolkata TO Malda,Kolkata Baharampur Dhulian -- Baharampur Dhulian Malda,3,3,1,267.37181295852423,1,1,West Bengal,West Bengal,Kolkata Baharampur Dhulian,FTL,Baharampur Dhulian Malda
273,Hospet TO Hospet,Hospet Gangavathi Koppal -- Gangavathi Koppal Hospet,3,3,17,79.30218899652768,1,1,Karnataka,Karnataka,Hospet Gangavathi Koppal,Carting,Gangavathi Koppal Hospet
274,Pratapgarh TO Pratapgarh,Pratapgarh Udaipur Banswara -- Udaipur Banswara Pratapgarh,3,3,12,183.07139929136812,1,1,Rajasthan,Rajasthan,Pratapgarh Udaipur Banswara,FTL,Udaipur Banswara Pratapgarh
275,Kolkata TO Kolkata,Kolkata Hooghly Hoogly -- Hooghly Hoogly Kolkata,3,3,14,44.47583942691595,1,1,West Bengal,West Bengal,Kolkata Hooghly Hoogly,Carting,Hooghly Hoogly Kolkata
276,Bhuj TO Nakhatrana,Bhuj Anjar Nakhatrana -- Anjar Bhuj Nakhatrana,3,3,11,82.8836563992521,1,1,Gujarat,Gujarat,Bhuj Anjar Nakhatrana,FTL,Anjar Bhuj Nakhatrana
277,Bengaluru TO Krishnagiri,Bengaluru Tirupur Krishnagiri -- Bengaluru Coimbatore Dharmapuri Krishnagiri,3,4,14,72.41393995320746,2,2,Karnataka Tamil Nadu,Karnataka Tamil Nadu,Bengaluru Tirupur Krishnagiri,FTL,Bengaluru Coimbatore Dharmapuri Krishnagiri
278,Irinjlkuda TO Irinjlkuda,Irinjlkuda Angamaly Chalakudy -- Aluva Chalakudy Irinjlkuda,3,3,2,45.4330388299505,1,1,Kerala,Kerala,Irinjlkuda Angamaly Chalakudy,Carting,Aluva Chalakudy Irinjlkuda
279,MughalSarai TO Varanasi,MughalSarai Chandauli Varanasi -- Chandauli Gahmar MughalSarai Varanasi,3,4,4,40.670325022869235,1,1,Uttar Pradesh,Uttar Pradesh,MughalSarai Chandauli Varanasi,Carting,Chandauli Gahmar MughalSarai Varanasi
280,Kanpur TO Gurgaon,Kanpur Auraiya Etawah -- Auraiya Etawah Gurgaon,3,3,1,392.2873870322919,1,2,Uttar Pradesh Haryana,Uttar Pradesh,Kanpur Auraiya Etawah,FTL,Auraiya Etawah Gurgaon
281,Kolkata TO Hyderabad,Kolkata Bhubaneshwar Visakhapatnam -- Bhubaneshwar Visakhapatnam Hyderabad,3,3,12,1097.3338328336076,3,3,Orissa Andhra Pradesh Telangana,West Bengal Orissa Andhra Pradesh,Kolkata Bhubaneshwar Visakhapatnam,FTL,Bhubaneshwar Visakhapatnam Hyderabad
282,Bhopal TO Bhopal,Bhopal Sehore Ashta -- Sehore Ashta Bhopal,3,3,16,149.59955918677844,1,1,Madhya Pradesh,Madhya Pradesh,Bhopal Sehore Ashta,FTL,Sehore Ashta Bhopal
283,Karimnagar TO Karimnagar,Karimnagar Ramagundam Chinnur -- Manthani Chinnur Karimnagar,3,3,1,175.0608379415532,1,1,Telangana,Telangana,Karimnagar Ramagundam Chinnur,FTL,Manthani Chinnur Karimnagar
284,Ahmedabad TO Vapi,Ahmedabad Vapi Surat -- Surat Bhiwandi Vapi,3,3,5,352.60547421787703,1,2,Gujarat Maharashtra,Gujarat,Ahmedabad Vapi Surat,FTL,Surat Bhiwandi Vapi
285,Pen TO Pen,Pen Roha Mahad -- Roha Mahad Pen,3,3,21,126.15909118066213,1,1,Maharashtra,Maharashtra,Pen Roha Mahad,Carting,Roha Mahad Pen
286,Bhubaneshwar TO Kendrpara,Bhubaneshwar Jagatsghpr Paradip -- Jagatsghpr Paradip Kendrpara,3,3,3,59.289356959567705,1,1,Orissa,Orissa,Bhubaneshwar Jagatsghpr Paradip,FTL,Jagatsghpr Paradip Kendrpara
287,Delhi TO Delhi,Delhi nan Hathras Aligarh -- nan Hathras Aligarh Delhi,3,3,1,365.82206577556167,2,2,nan Uttar Pradesh Delhi,Delhi nan Uttar Pradesh,Delhi nan Hathras Aligarh,FTL,nan Hathras Aligarh Delhi
288,Aluva TO Aluva,Aluva Cochin Kunnathund -- Cochin Kunnathund Aluva,3,3,16,33.53805577723821,1,1,Kerala,Kerala,Aluva Cochin Kunnathund,Carting,Cochin Kunnathund Aluva
289,Visakhapatnam TO Visakhapatnam,Visakhapatnam Anakapalle Narsiptnm -- Anakapalle Narsiptnm Visakhapatnam,3,3,1,118.88792370486263,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Anakapalle Narsiptnm,Carting,Anakapalle Narsiptnm Visakhapatnam
290,Ahmedabad TO Surat,Ahmedabad Anand Vadodara -- Anand Vadodara Surat,3,3,10,156.89019422110647,1,1,Gujarat,Gujarat,Ahmedabad Anand Vadodara,FTL,Anand Vadodara Surat
291,Angamaly TO Aluva,Angamaly Chalakudy Irinjlkuda -- Chalakudy Irinjlkuda Aluva,3,3,14,37.093860822539625,1,1,Kerala,Kerala,Angamaly Chalakudy Irinjlkuda,Carting,Chalakudy Irinjlkuda Aluva
292,Kumbakonam TO Thirukkatupli,Kumbakonam Mylduthuri Mannargudi -- Mylduthuri Mannargudi Thirukkatupli,3,3,12,131.697659184404,1,1,Tamil Nadu,Tamil Nadu,Kumbakonam Mylduthuri Mannargudi,FTL,Mylduthuri Mannargudi Thirukkatupli
293,Bhatinda TO Bhatinda,Bhatinda Barnala Bhadaur -- Barnala Bhadaur Bhatinda,3,3,9,68.40949861213508,1,1,Punjab,Punjab,Bhatinda Barnala Bhadaur,FTL,Barnala Bhadaur Bhatinda
294,Jhansi TO Gwalior,Jhansi Lalitpur Tikamgarh -- Lalitpur Tikamgarh Gwalior,3,3,5,211.84141109403808,2,2,Uttar Pradesh Madhya Pradesh,Uttar Pradesh Madhya Pradesh,Jhansi Lalitpur Tikamgarh,FTL,Lalitpur Tikamgarh Gwalior
295,Agra TO nan,Agra Kirauli Dholpur -- Kirauli Dholpur nan,3,2,7,126.23358196081078,2,2,Uttar Pradesh Rajasthan nan,Uttar Pradesh Rajasthan,Agra Kirauli Dholpur,FTL,Kirauli Dholpur nan
296,Dinhata TO CoochBehar,Dinhata Mainaguri Mathabhang -- Pundibari Mathabhang Dinhata CoochBehar,3,4,13,69.44844081481261,1,1,West Bengal,West Bengal,Dinhata Mainaguri Mathabhang,FTL,Pundibari Mathabhang Dinhata CoochBehar
